neighborhood_id,neighborhood_name
100,Ballard
101,Beacon Hill
102,Capitol Hill
103,Cascade
104,Central Area
105,Delridge
106,Downtown
107,Interbay
108,Lake City
109,Magnolia
110,Northgate
111,Bitter Lake
112,Broadview
113,Bryant
114,Crown Hill
115,Fremont
116,Georgetown
117,Green Lake
118,Greenwood
120,Harbor Island
121,Industrial District
122,Laurelhurst
123,North Beach/Blue Ridge
124,Phinney Ridge
125,Ravenna
126,Roosevelt
127,South Park
128,View Ridge
129,Wallingford
130,Wedgwood
131,Windermere
132,Queen Anne
133,Rainier Valley
134,Seward Park
135,University District
136,West Seattle
